existing_pet,vet_assistance,space_req,sleepingarea,living_arrangement,eligible_to_adopt
yes,no,no,no,rent,no
yes,yes,no,no,rent,no
yes,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
no,yes,yes,yes,own,yes
yes,yes,no,no,rent,no
no,yes,yes,yes,own,yes
no,yes ,yes,yes,own,yes
yes,yes,yes,yes,own,yes
no,no,yes,yes,own,yes
yes,no,no,no,rent,no
no,yes,yes,yes,rent,yes
yes,no,no,yes,rent,no
yes,yes,yes,yes,own,yes
no,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
no,yes,yes,yes,own,yes
yes,no,yes,yes,rent,yes
yes,yes,yes,yes,own,yes
no,no,no,no,rent,no
yes,no,no,yes,rent,no
no,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
no,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
no,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
no,yes,yes,yes,own,yes
no,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
no,yes,yes,yes,own,yes
no,yes,yes,yes,own,yes
no,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
yes ,yes,yes,yes,own,yes
no,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
no,yes,yes,yes,own,yes
no,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
yes,yes,yes,yes,own,yes
no,yes,yes,yes,own,yes
